publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	OCLC_Control_Number	additional_notes
ce/papers	 	2509-7075	2017	1	1	 	 	 	https://onlinelibrary.wiley.com/loi/25097075	 	10.1002/(ISSN)2509-7075	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
genesis	1526-954X	1526-968X	2000	26	1	 	 	 	https://onlinelibrary.wiley.com/loi/1526968X	 	10.1002/(ISSN)1526-968X	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1520-6408	P	 	 
geotechnik	0172-6145	2190-6653	2011	34	1	 	 	 	https://onlinelibrary.wiley.com/loi/21906653	 	10.1002/(ISSN)2190-6653	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
physica status solidi (a)	0031-8965	1521-396X	1997	159	1	2004	201	15	https://onlinelibrary.wiley.com/loi/1521396X	 	10.1002/(ISSN)1521-396X	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
physica status solidi (a)	1862-6300	1862-6319	2005	202	1	 	 	 	https://onlinelibrary.wiley.com/loi/18626319	 	10.1002/(ISSN)1862-6319	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1521-396X	P	 	 
physica status solidi (b) basic solid state physics	0370-1972	1521-3951	1997	199	1	 	 	 	https://onlinelibrary.wiley.com/loi/15213951	 	10.1002/(ISSN)1521-3951	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
physica status solidi (RRL) Rapid Research Letters	1862-6254	1862-6270	2007	1	1	 	 	 	https://onlinelibrary.wiley.com/loi/18626270	 	10.1002/(ISSN)1862-6270	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
steel research international	1611-3683	1869-344X	2003	74	1	 	 	 	https://onlinelibrary.wiley.com/loi/1869344X	 	10.1002/(ISSN)1869-344X	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Abacus	0001-3072	1467-6281	1997	33	1	 	 	 	https://onlinelibrary.wiley.com/loi/14676281	 	10.1111/(ISSN)1467-6281	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Academic Emergency Medicine	1069-6563	1553-2712	1997	4	1	 	 	 	https://onlinelibrary.wiley.com/loi/15532712	 	10.1111/(ISSN)1553-2712	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Academic Review	1554-1142	1948-7177	2000	1	1	2002	2	1	https://onlinelibrary.wiley.com/loi/19487177a	 	10.1111/(ISSN)1948-7177a	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Accounting & Finance	0810-5391	1467-629X	1997	37	1	 	 	 	https://onlinelibrary.wiley.com/loi/1467629X	 	10.1111/(ISSN)1467-629X	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Accounting Perspectives	1911-382X	1911-3838	2007	6	1	 	 	 	https://onlinelibrary.wiley.com/loi/19113838	 	10.1111/(ISSN)1911-3838	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	2816-301X	P	 	 
Acta crystallographica. Section D, Biological crystallography	0907-4449	1399-0047	1997	53	1	2015	71	12	https://onlinelibrary.wiley.com/loi/S13990047	 	10.1107/S13990047	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Acta hydrochimica et hydrobiologica	0323-4320	1521-401X	1998	26	1	2006	34	6	https://onlinelibrary.wiley.com/loi/1521401X	 	10.1002/(ISSN)1521-401X	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	1997	41	1	 	 	 	https://onlinelibrary.wiley.com/loi/13996576	 	10.1111/(ISSN)1399-6576	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	 	P	 	 
Acta Crystallographica Section A: Foundations and Advances	 	2053-2733	2014	70	1	 	 	 	https://onlinelibrary.wiley.com/loi/S20532733	 	10.1107/S20532733	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1600-5724	P	 	 
Acta Crystallographica Section A: Foundations of crystallography	0108-7673	1600-5724	1997	53	1	2013	69	6	https://onlinelibrary.wiley.com/loi/S01087673	 	10.1107/S01087673	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1600-5724	P	 	 
Acta Crystallographica Section B	0108-7681	1600-5740	1997	53	1	2012	68	6	https://onlinelibrary.wiley.com/loi/S01087681	 	10.1107/S01087681	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1600-5740	P	 	 
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	2052-5192	2052-5206	2013	69	1	 	 	 	https://onlinelibrary.wiley.com/loi/S20525192	 	10.1107/S20525206	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1600-5740	P	 	 
Acta Crystallographica Section C: Structural Chemistry	 	2053-2296	2014	70	1	 	 	 	https://onlinelibrary.wiley.com/loi/S20532296	 	10.1107/S20532296	 	fulltext	 	Wiley	Serial	 	 	 	 	 	 	1600-5759	P	 	 
